名次,球队,赛,胜,平,负,积分
1,萨尔茨堡红牛,6,3,3,0,12
1,泽尼特,6,5,1,0,16
1,莫斯科火车头,6,3,2,1,11
1,比尔森,6,4,0,2,12
1,比利亚雷亚尔,6,3,2,1,11
1,布拉加,6,3,1,2,10
1,基辅迪纳摩,6,4,1,1,13
1,亚特兰大,6,4,2,0,14
1,毕尔巴鄂竞技,6,3,2,1,11
1,AC米兰,6,3,2,1,11
1,拉齐奥,6,4,1,1,13
1,阿森纳,6,4,1,1,13
2,厄斯特松德,6,3,2,1,11
2,阿斯塔纳,6,3,1,2,10
2,卢多戈雷茨,6,2,3,1,9
2,布加勒斯特星,6,3,1,2,10
2,尼斯,6,3,0,3,9
2,里昂,6,3,2,1,11
2,哥本哈根,6,2,3,1,9
2,游击队,6,2,2,2,8
2,马赛,6,2,2,2,8
2,雅典AEK,6,1,5,0,8
2,贝尔格莱德红星,6,2,3,1,9
2,皇家社会,6,4,0,2,12
3,伯尔尼年轻人,6,1,3,2,6
3,瓦雷赫姆,6,2,1,3,7
3,里耶卡,6,2,1,3,7
3,布拉格斯拉夫人,6,2,2,2,8
3,卢甘斯克,6,2,0,4,6
3,伊斯坦布尔市,6,2,2,2,8
3,科隆,6,2,0,4,6
3,谢里夫,6,2,3,1,9
3,罗森博格,6,1,2,3,5
3,埃弗顿,6,1,1,4,4
3,科尼亚运动,6,1,3,2,6
3,卢加诺,6,3,0,3,9
4,利马索尔,6,0,3,3,3
4,奥地利维也纳,6,1,2,3,5
4,鲍里索夫,6,1,2,3,5
4,维特斯,6,1,2,3,5
4,柏林赫塔,6,1,2,3,5
4,瓦达尔,6,0,1,5,1
4,科尔察,6,1,2,3,5
4,特拉维夫马卡比,6,1,1,4,4
4,贝尔谢巴,6,1,1,4,4
4,吉马良斯,6,1,2,3,5
4,兹林,6,0,2,4,2
4,霍芬海姆,6,1,2,3,5
